Site,Transect Number,DWH Transect Name,Year,Area (m2),Group,Group2,Acanthonus_armatus,Bassogigas_gillii,Dicrolene_introniger,Macrouridae_sp_M,Synaphobranchus_oregoni,Bathynomus_giganteus,Ophiurida_spp,Cerianthid_spp,Chaceon_quinquedens,Elpididae_spp,Paguroidea_sp_A,Oloughlinius_macdonaldi,Nematocarcinus_rotundus,Asteroidea_spp,Galatheoidea,Ilyophis_brunneus,Aldrovandia_affinis,Plesiopenaeus_armatus,Acanthephyra_sp_B,Virgularia_sp_C,Funiculina_quadrangularis,Actinostolidae_carlgren,Bathypterois_quadrifilis,Trachonurus_villosus,Ipnops_murrayi,Benthothuria,Cnidaria_sp_D,Fish_sp_E,Sipuncula_sp_F,Hormathiidae_sp_G,Holothuroidea_sp_H,Bathypterois_viridensis,Glyphocrangon_aculeata,Platyhelminthes,Chaceon_fenneri,Synaphobranchidae_sp_N,Zoarcidae_sp_K,Neolithodes_agassizii,Rhinochimaera_atlantica,Enypniastes_eximia,Total Abundance,Total Abundace2
2000_S,B1,0,2010,1634.7,DWH2010,DWH 2010 2000m,0,0,0,1,1,0,1,1,0,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9
2000_S,B2,45,2010,1553.4,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B3,60,2010,1616,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B4,75,2010,1568,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B5,90,2010,1490.5,DWH2010,DWH 2010 2000m,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2000_S,B6,105,2010,1611.1,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000_S,B7,120,2010,1594.7,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2000_S,B8,135,2010,1481.2,DWH2010,DWH 2010 2000m,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2000_S,B9,165,2010,1610.8,DWH2010,DWH 2010 2000m,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2000_S,B10,180,2010,1524.9,DWH2010,DWH 2010 2000m,0,1,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
